symbol;date;period;revenuePerShare;netIncomePerShare;operatingCashFlowPerShare;freeCashFlowPerShare;cashPerShare;bookValuePerShare;tangibleBookValuePerShare;shareholdersEquityPerShare;interestDebtPerShare;marketCap;enterpriseValue;peRatio;priceToSalesRatio;pocfratio;pfcfRatio;pbRatio;ptbRatio;evToSales;enterpriseValueOverEBITDA;evToOperatingCashFlow;evToFreeCashFlow;earningsYield;freeCashFlowYield;debtToEquity;debtToAssets;netDebtToEBITDA;currentRatio;interestCoverage;incomeQuality;dividendYield;payoutRatio;salesGeneralAndAdministrativeToRevenue;researchAndDdevelopementToRevenue;intangiblesToTotalAssets;capexToOperatingCashFlow;capexToRevenue;capexToDepreciation;stockBasedCompensationToRevenue;grahamNumber;roic;returnOnTangibleAssets;grahamNetNet;workingCapital;tangibleAssetValue;netCurrentAssetValue;investedCapital;averageReceivables;averagePayables;averageInventory;daysSalesOutstanding;daysPayablesOutstanding;daysOfInventoryOnHand;receivablesTurnover;payablesTurnover;inventoryTurnover;roe;capexPerShare
AAPL;2021-09-25;FY;21.90354123925411;5.669029281123018;6.229345884552985;5.56562398361035;3.750552652516527;3.7775565837141025;3.7775565837141025;3.7775565837141025;7.6260059712817085;2482477060059.237;2572256060059.237;26.219656316637483;6.786117266445345;23.86125319651701;26.706798705359017;39.348186084311884;39.348186084311884;7.03153779091523;20.889553502300195;24.724197505327254;27.672652416374262;0.0381393252422404;0.03744364912591859;1.729370740212395;0.8202574344305731;0.7291044048856549;1.0745531195957954;41.19054820415879;1.0988381918039714;0.00582764700337444;0.15279890156316012;0;0.059904269074427925;0;-0.1065476076049136;-0.030302036264033657;-0.9823644097837646;0.021611898845597662;21.950837680915992;0.48309913489209433;0.26974205275183616;-10.97841529675105;9355000000;;-153076000000;1.9768426058012363;44475500000;48529500000;5320500000;51.390968708397914;93.85107122231561;11.27659274770989;7.102415252591931;3.889140478060004;32.367933130699086;1.5007132667617689;-0.6637219009426348
AAPL;2020-09-26;FY;15.820258033039078;3.3085872682177895;4.649230448454163;4.2280138811865;5.241031369137106;3.765476712094932;3.765476712094932;3.765476712094932;6.645240272960322;1996361344741.5688;2070781344741.5688;34.77315052414291;7.272321529758187;24.746031493933224;27.21135888695657;30.55390111176432;30.55390111176432;7.543417826863992;25.55889094966143;25.668509615756857;28.22573904098097;0.02875781989629333;0.036749359124411005;1.5100782075024104;0.7982666847799239;0.9185386324364354;1.3636044481554577;23.07274625826662;1.405201093867029;0.0070533323223721306;0.24526658654264863;0;0.06830956414039306;0;-0.09059920172546297;-0.026625138881299748;-0.661089001447178;0.024876600550061016;16.74258602902124;0.3033831282952548;0.1772557180259843;-7.9236288086774875;38321000000;;-114836000000;1.720809929750991;37445000000;42296000000;4061000000;49.78753437881355;91.04818971567418;8.741883356235881;7.331152356789959;4.008866086627577;41.75301649839941;0.8786635853012749;-0.4212165672676634
AAPL;2019-09-28;FY;14.085283273500087;2.9914457730615696;3.7566854936751732;3.1885078588792926;5.443948396585932;4.898833522383005;4.898833522383005;4.898833522383005;6.043038792646076;1150071572477.0688;1209274572477.0688;20.813514776260835;4.420393938199315;16.573785829243977;19.527159271887207;12.709658435119227;12.709658435119227;4.6479454998465215;14.77247217782884;17.42696563642358;20.53237184999098;0.04804570543465176;0.05121072584478156;1.0145765184333835;0.7326921031797611;0.7232225751282678;1.540125617208044;17.87751677852349;1.2558093238743304;0.012276627244676564;0.25551976255972203;0;0.06233136285716482;0;-0.15124439768846104;-0.04033838892433525;-0.8364549294652108;0.0233228531674956;18.158424594467483;0.2746157613037913;0.16323009842961633;-6.012829824545447;57101000000;;-85209000000;1.1940478295464592;41624500000;44266000000;4083500000;64.25876528784583;104.31407696777144;9.263638723714628;5.68015893808401;3.4990483605848257;39.40136385776912;0.6106445053487756;-0.5681776347958805
AAPL;2018-09-29;FY;13.39933369348084;3.0033537307050504;3.9065645257666572;3.2349203703371106;3.344901911600268;5.405592753084175;5.405592753084175;5.405592753084175;5.939154578955345;1051729242230.1112;1140299242230.1113;17.666917105879477;3.959898500461647;13.582266733348543;16.40225888913322;9.815760051425716;9.815760051425716;4.293376163821274;13.099961425339606;14.726079528761414;17.783553628766104;0.056602971192251994;0.06096721230650232;0.8748261733879623;0.7070285050242668;1.0175079842841717;1.1238426916297297;21.882098765432097;1.300734071324184;0.013037576069411892;0.23033377567989788;0;0.05360040663416103;0;-0.1719270604643955;-0.05012519060976298;-1.2210400807117308;0.020105800184491426;19.112441265758534;0.2848922482208801;0.16277530931710985;-7.746774362475348;14473000000;;-127239000000;1.0684666859548098;43220000000;49092000000;4008500000;67.33249872926825;124.57021422115831;8.817631109699796;5.42085927135422;2.9300744345834526;41.3943377148635;0.5556011834209077;-0.6716441554295466
AAPL;2017-09-30;FY;10.984443504824963;2.3168850515272243;3.047491375711535;2.4343800805099707;3.5546079710314378;6.423269229221109;6.039206155282811;6.423269229221109;5.654472228813614;869818592500.6904;965209592500.6904;17.989671206400914;3.794457159499422;13.676823052622574;17.12140213177746;6.488907566008121;6.488907566008121;4.210586529488166;12.605748964994847;15.176728710033183;18.99906683661773;0.05558745285151124;0.058406431453647815;0.7251710221041874;0.6428451530564666;1.2458174979430319;1.2760628484139107;26.40723202755058;1.3153399102397054;0.014680072500278113;0.264089677566131;0;0.05052042890670668;0.02135516720443143;-0.20118557187332936;-0.0558163274208887;-1.259722358964261;0.021113796382735545;18.298755977665166;0.22347133931986668;0.131637553634047;-6.608316712163246;27831000000;126032000000;-112627000000;0.8629808947607929;36559000000;45672500000;4458000000;56.80067093014126;126.92760620497985;12.563630820713515;6.425980433380988;2.8756549572876104;29.05211122554068;0.3607018433832909;-0.6131112952015644
AAPL;2016-09-24;FY;9.854052957326324;2.0877583250774108;3.007958587560914;2.38885578395926;3.0687812795888;5.8605931103564;5.466685067320804;5.8605931103564;4.043635140618774;643641981753.312;710189981753.312;14.088077171915685;2.984812495667815;9.77822650937822;12.31238009322274;5.018690061936638;5.018690061936638;3.293420864283882;9.684452862330902;10.789225537088479;13.585392565485348;0.07098200753708823;0.08121906507340873;0.58812934213912;0.6013224075651412;0.9074768521675098;1.352669417512594;41.22527472527472;1.4407599535973035;0.018876953872559415;0.26593998292730975;0;0.046582482760539605;0.02679631690530517;-0.20582158483228002;-0.06282722513089005;-1.289671584959543;0.01952337007684139;16.592130552188063;0.24733805834844239;0.14593408418672102;-4.717837088407222;27863000000;119629000000;-86568000000;0.6786173771335449;33372000000;39795000000;3096500000;49.59276846952546;103.61336926074777;5.923304104250396;7.359944025393358;3.5227114281117604;61.62101313320826;0.3562366958026963;-0.6191028036016538
AAPL;2015-09-26;FY;10.15547967026922;2.3200979034908102;3.5312034353126602;3.0320221655950435;1.8076636491576055;5.186262225552415;4.794799476693953;5.186262225552415;2.83287977709262;663254365975.8948;706596365975.8948;12.42188946278411;2.837876755774746;8.161523465851584;9.505207457592576;5.5569885298135375;5.5569885298135375;3.023324844258583;8.36159240253115;8.694858439887465;10.126348791537373;0.08050305092441795;0.10520548914492332;0.44793263792886767;0.5891097118896719;0.5128927282409325;1.1087706239920605;97.17598908594816;1.5220062179271079;0.017430718278031162;0.2165224557066337;0;0.034516398177267184;0.031014290189652263;-0.14136293160731425;-0.04915388400402199;-1.020520564981789;0.015343473889138481;16.45400597484695;0.3394021985143113;0.18969694816499094;-4.588194137018654;8768000000;110346000000;-81746000000;0.5400862971806795;33894000000;38893000000;3205000000;47.387608839826285;92.46871631605622;6.120287817030602;7.702435487591866;3.947280924204001;59.63771817794807;0.44735453060198566;-0.4991812697176167
AAPL;2014-09-27;FY;7.509359843248918;1.6231013288479703;2.4530561794355568;2.0499305570618507;1.0301825366621247;4.582436950873311;4.222651543683979;4.582436950873311;1.4657208886855664;639654477788.4575;661105477788.4575;16.189685593228486;3.4992996405178345;10.712147736480457;12.818727009788727;5.734394271369536;5.734394271369536;3.616649677444446;10.69524983075498;11.071382743932771;13.248606769307766;0.061767722062388966;0.07801086638605946;0.25986355527266536;0.5188600709975457;0.3470305599145811;1.0801128483167317;136.7265625;1.511338901543913;0.01739376551926448;0.2815995950392306;0;0.03304794988922016;0.037776215390853136;-0.16433607422169377;-0.053683087611805576;-1.2349609866599547;0.01566235400311825;12.936366910663192;0.3117921979203164;0.1771105562553512;-3.0295118519672433;5083000000;102789000000;-51761000000;0.31641370901951643;32332000000;36246000000;3086000000;54.35014633879483;98.18044148301234;6.863786990682178;6.715713288511702;3.71764472115512;53.17764092846992;0.3542004715501089;-0.4031256223737062
AAPL;2013-09-28;FY;6.59648122826164;1.4294884749349153;2.071305140693284;1.721005780634173;1.564922636949836;4.768525301448115;4.546365416421645;4.768525301448115;0.6598411039632613;490314395091.72125;493015395091.72125;13.238501905978378;2.8688455625283553;9.136406571977066;10.996061787210614;3.9685824659990874;3.9685824659990874;2.8846492018706993;8.642115325545527;9.186736389738778;11.056635906968406;0.07553724787760235;0.09094164977893157;0.1372734704449247;0.4031449275362319;0.04734609451689805;1.6786385084062485;360.2867647058824;1.448983448983449;0.021545359682992447;0.28522828522828525;0;0.02618337136504593;0.027806763285024155;-0.16912011329333285;-0.053103972851208235;-1.3431996448127868;0.013182376689485695;12.384361877757428;0.29997796035312413;0.18404026952356345;-1.0244307172244311;29628000000;117793000000;-10165000000;0.1372734704449247;29043000000;32331500000;2912500000;44.08147563044877;76.58063336022363;6.039622535316962;8.280122087108182;4.766218089149193;60.43424036281179;0.29977579745687943;-0.3502993600591109
AAPL;2012-09-29;FY;5.9793151485866005;1.594389801773485;1.9429297620346573;1.583730736892101;1.1128598599635742;4.516157919815102;4.311419824118553;4.516157919815102;0;564630064895.3832;553884064895.3832;13.52958246220936;3.607675421674184;11.10252605189915;13.62064131073921;4.776499999114993;4.776499999114993;3.539014394761822;9.381505164217195;10.891223550719348;13.361414215645853;0.0739121109460093;0.07341798210423095;0;0.32859641948382406;-0.18201219512195121;1.4958486845519174;;1.2186039824599237;0.004406424940303145;0.05961708959336736;0;0.02160272957292918;0.030437795347146492;-0.18487494100991034;-0.06007360646101158;-2.8690875801037534;0.011117642548623713;12.728378252448914;0.4016884571195881;0.2444743856360388;-0.5467259784410289;19111000000;112851000000;-201000000;0;28068500000;31735500000;2426000000;43.5925320111432;87.98209366391185;3.286603829428773;8.372993794136528;4.148571428571429;111.05689001264223;0.35304119786820065;-0.3591990251425564
AAPL;2011-09-24;FY;4.182853396222391;1.00165290891257;1.450159401997525;1.1622064092802782;1.0028121399621566;2.9604828954685813;2.7892258284096925;2.9604828954685813;0;375036176054.06396;365221176054.06396;14.467871925548337;3.4645694283925392;9.993236591810707;12.469201584402166;4.895075064335495;4.895075064335495;3.3738988448305665;10.139681169773285;9.731705509181273;12.142872495729758;0.06911866549178756;0.08019759671308135;0;0.34163150613125265;-0.2724950720453094;1.6084376117268502;;1.4477663760512307;;0;0;0.022439006364954873;0.038085089927903;-0.19856644195155745;-0.06884128259845357;-4.1080485115766265;0.010789938013284187;8.168290325442667;0.3822354950735851;0.2315725529082804;-0.1788403701749326;17018000000;72183000000;5232000000;0;24581000000;28464000000;2418500000;39.508032406765885;82.88991324052087;4.3960205491145565;9.238627635060169;4.40343083652269;83.02963917525773;0.3383410559289956;-0.28795299271724684
AAPL;2010-09-25;FY;2.5613679813804944;0.5502866925731678;0.7302205843429711;0.6469294921466042;1.0060904205897778;1.876739550757458;1.8342104357887332;1.876739550757458;0;280877927600.5276;269616927600.5276;20.044096738780244;4.306292489084363;15.105024339904684;17.049771008894474;5.877213860361315;5.877213860361315;4.133643964745536;13.779165308965482;14.499431438587125;16.36620903244674;0.04989000068360544;0.0586518141198684;0;0.36433768272082784;-0.5755097868860837;2.0112923462986196;;1.326982088061086;;0;0;0.027320812571866616;0.014404852160727824;-0.11406292013982253;-0.032518206209275584;-2.065238558909445;0.013476427750095821;4.820452053974857;0.33758102128128387;0.18910931174089068;0.2433348669470944;20956000000;46708000000;14286000000;0;23684500000;27155500000;2556000000;55.53484093522422;110.90956222654967;9.701702030803471;6.572450624748085;3.2909696213067;37.62226450999049;0.2932142035111213;-0.08329109219636686
AAPL;2009-09-26;FY;1.461220019734089;0.2281194129940401;0.4062877132900514;0.35777634443279854;0.9383930411101257;1.1130819604575954;1.0949651837944994;1.1130819604575954;0;180817892896.63678;175554892896.63678;31.70019160179467;4.9488981825720995;17.798788551691782;20.21214988784225;6.496762463949295;6.496762463949295;4.804852420741626;20.208920559069504;17.280725750234943;19.62384226432336;0.03154555065665238;0.049475192176439725;0;0.48316651501364877;-0.6058478185794866;1.880769629706462;;1.7810308555399719;;0;0;0.036483564605742126;0.008412100053852296;-0.11940151589723398;-0.033199222705750334;-1.7254623044096729;0.019432356241618085;2.390209421214268;0.22152795857560242;0.10682048016779655;0.05859957396380036;16983000000;27379000000;10246000000;0;21251000000;23948500000;2258000000;50.518789172619535;87.37722784972432;7.098132239175962;7.2250346054973305;4.177289769683985;51.42197802197802;0.20494394941075023;-0.04851136885725292
AAPL;2008-09-27;FY;1.3157609026786605;0.19583078923454064;0.388744777305472;0.34017193570592424;0.9921175068998552;0.8519490065375237;0.8320175319195274;0.8519490065375237;0;81185817859.104;69310817859.104;16.79474924681506;2.4996403171004036;8.460381185817424;9.668431327748483;3.8604763603948644;3.8604763603948644;2.134019454389113;9.40700568120304;7.222886396321801;8.254235781720139;0.05954241919924104;0.1034293947074942;0;0.468563630850096;-1.611699239956569;2.4616803860346295;;1.9851055026892843;;0;0;0.0341451399365744;0.012433033458000606;-0.12494789495623176;-0.03691616121185997;-2.5348837209302326;0.015887188644970598;1.9374858819101333;0.24627158555729983;0.1236949846468782;0.39419352392360313;20598000000;20538000000;16148000000;0;21074500000;23908000000;2285000000;52.86369654238123;94.44079872503984;8.708399737508202;6.9045493197278915;3.8648550724637682;41.913555992141454;0.22986210175939134;-0.048572841599547834
AAPL;2007-09-29;FY;0.9916286155450157;0.14441113221467028;0.22595220057615745;0.18522297392751189;0.6355576888601021;0.6002810564483949;0.5863604181313629;0.6002810564483949;0;160027880249.888;150675880249.888;45.77456528886957;6.66616180329451;29.25555397621353;35.68864412352542;11.01210296242004;11.01210296242004;6.27659252894643;28.29593995303061;27.54586476231956;33.60300630015343;0.02184619326670389;0.028020117450772382;0;0.4266777133388567;-1.7562441314553991;2.361114098290139;;1.5646453089244852;;0;0;0.032575189535949345;0.013295459028681894;-0.18025594149908591;-0.041073065067066566;-3.110410094637224;0.01008081313005082;1.396589956893737;0.2747382851445663;0.1397840863654538;0.32078396739018183;12657000000;14195000000;11141000000;0;20737000000;23633000000;2203500000;61.259060234941266;114.43666414332576;7.966818067120868;5.958302308265078;3.1895372233400403;45.8150289017341;0.24057252958987063;-0.04072922664864557
AAPL;2006-09-30;FY;0.8172678045482995;0.08415975476295975;0.09393396459214211;0.06613458858446762;0.42778035226421474;0.42244896508466073;0.41495963547528725;0.42244896508466073;0;67879147736.231995;61487147736.231995;34.12727387442534;3.514322947772819;30.57619267397838;43.42875734883685;6.7987928421706725;6.7987928421706725;3.183388440912865;20.206095214009856;27.696913394699095;39.339186011664744;0.029302076798738697;0.023026217212885162;0;0.41970357454228424;-2.100558659217877;2.2421573172616287;;1.1161387631975868;;0;0;0.036862542065752006;0.01028770706190061;-0.2959459459459459;-0.03401501423763914;-2.92;0.008439037017861766;0.8943975789777731;0.22852617849822993;0.11680761099365751;0.21823779543924368;8038000000;9807000000;7288000000;0;20145000000;22843000000;2165500000;53.762619725601866;90.20558431143836;7.184515564627834;6.789103690685413;4.046312684365781;50.803703703703704;0.19921875;-0.02779937600767449
